"Source:","C:\Users\matth\Desktop\AeroNU\FixedWing\BMS\bms-pcb-design\bms-kicad-project\bms-board.kicad_sch"
"Date:","8/13/2025 9:22:09 PM"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Users\matth\AppData\Local\Programs\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","338"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","A_max","Arrow Part Number","Arrow Price/Stock","DESCRIPTION","D_nom","Height","MAXIMUM_PACKAGE_HEIGHT","MF","Manufacturer","Manufacturer Name","Manufacturer Part Number","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","SNAPEDA_PN","STANDARD","Sim.Device","Sim.Pins","Tutorial","b_max","b_nom","category","composition","device class L1","device class L2","device class L3","digikey description","digikey part number","e_nom","height","ipc land pattern name","lead free","library id","mouser description","mouser part number","package","power","power rating","resistance","rohs","series","temperature coefficient","temperature range high","temperature range low","tolerance","voltage rating"
"1","1","BB1","Busbar","FixedWing:BUSBAR","FixedWing:BUSBAR_SHORT","https://a.co/d/7SaIuOh","","","","","","","","","","PATIKIL","","T2 Copper","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","1","BB2","Busbar","FixedWing:BUSBAR","FixedWing:BUSBAR_LONG","https://a.co/d/7SaIuOh","","","","","","","","","","PATIKIL","","T2 Copper","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","39","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C15, C18, C19, C21, C34, C35, C41, C43, C61, C64, C65, C67, C68, C69, C71, C72, C73, C74, C75, C76, C78, C80, C82, C83, C84, C85","0.1µ","FixedWing:GCJ188R72A104KA01D","FixedWing:CAP_GCJ-18_MUR","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCJ21BR71A106KE01-01A.pdf","","","","","","","","","","Murata Electronics","","GCJ188R72A104KA01D","","GCJ188R72A104KA01D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","7","C14, C37, C66, C70, C77, C79, C87","1µ","FixedWing:GCM188R71C105KA64D","FixedWing:CAPC1608X90N","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM033R71A103KA03-01A.pdf","","","","","","","","","","Murata Electronics","","GCM188R71C105KA64D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","4","C16, C30, C31, C32","1µ","FixedWing:CL31B105KCHNNNE","FixedWing:CAP_CL31_SAM","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/41/CL31B105KCHNNNE_Spec.pdf","","","","","","","","","","Samsung Electro-Mechanics","","CL31B105KCHNNNE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","3","C17, C20, C33","100p","FixedWing:C0805C101J1GACTU","FixedWing:CAPC220145_88N_KEM","https://search.kemet.com/download/datasheet/C0805C101J1GAC7800","","","","","","","","","","KEMET","","C0805C101J1GACTU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","2","C22, C39","4.7µ","FixedWing:GCM21BC71E475KE36L","FixedWing:CAPC2012X145N","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM21BC71E475KE36-01.pdf","","","","","","","","","","Murata Electronics","","GCM21BC71E475KE36L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","7","C23, C24, C25, C26, C27, C28, C40","3.9n","FixedWing:GRM2165C1H392JA01D","FixedWing:G-21_MUR","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM2165C1H392JA01-01.pdf","","","","","","","","","","Murata Electronics","","GRM2165C1H392JA01D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1","C29","220µ","FixedWing:80ZLH220MEFC10X23","FixedWing:CAPPRD500W60D1000H2500","https://www.rubycon.co.jp/wp-content/uploads/catalog-aluminum/ZLH.pdf","","25","","","FR-A","10","","","PANASONIC","Rubycon","","80ZLH220MEFC10X23","","","","","28-FEB-20","","","C","1=+ 2=-","","0.65","0.6","","","","","","","","5","","","","","","","","","","","","","","","","",""
"10","1","C36","560p","FixedWing:CC0805JRNPO9BN561","FixedWing:CAP_CC0805_YAG","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf","","","","","","","","","","YAGEO","","CC0805JRNPO9BN561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
